=== Pacman ===
accountsservice 23.13.9-2
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-5
alsa-utils 1.2.14-1
ark 25.12.0-1
aspell 0.60.8.1-2
b43-fwcutter 019-6
base 3-2
base-devel 1-2
bash-completion 2.17.0-1
bind 9.20.17-1
bluedevil 1:6.5.4-1
blueman 2.4.6-1
bluez 5.85-1
bluez-utils 5.85-1
breeze-gtk 6.5.4-1
brightnessctl 0.5.1-3
btop 1.4.5-1
btrfs-progs 6.17.1-1
cantarell-fonts 1:0.303.1-2
cava 0.10.6-1
cliphist 1:0.7.0-1
cmatrix 2.0-4
cryptsetup 2.8.1-1
cuda 13.0.2-3
device-mapper 2.03.38-1
diffutils 3.12-2
dmidecode 3.6-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.91-1
dolphin 25.12.0-1
dolphin-plugins 25.12.0-1
dosfstools 4.2-5
downgrade 11.5.5-1
dracut 109_eos-1
duf 0.9.1-1
dunst 1.13.0-1
e2fsprogs 1.47.3-2
efibootmgr 18-3
efitools 1.9.2-6
endeavouros-branding 25.11.1.1-1
endeavouros-keyring 20231222-1
endeavouros-konsole-colors 1-2
endeavouros-mirrorlist 25.11.1-1
eos-apps-info 25.12-1
eos-breeze-sddm 25.11.1.2-1
eos-dracut 1.7-1
eos-hooks 1.16.2-1
eos-log-tool 25.10-1
eos-packagelist 2.3.1-2
eos-quickstart 1.4.1-1
eos-rankmirrors 25.11.4-1
eos-settings-plasma 2.0-1
ethtool 1:6.15-1
exfatprogs 1.3.1-1
f2fs-tools 1.16.0-3
ffmpegthumbnailer 2.3.0-1
ffmpegthumbs 25.12.0-1
firefox 146.0.1-1
firewalld 2.4.0-1
fish 4.2.1-1
fwupd 2.0.19-1
gdb 16.3-1
git 2.52.0-2
glances 4.4.1-2
gnome-calculator 49.2-1
grim 1.5.0-2
grimblast-git r152.db18f83-1
grub 2:2.14rc1.r54.g29f3131a-2
gst-libav 1.26.9-1
gst-plugin-pipewire 1:1.4.9-2
gst-plugins-bad 1.26.9-1
gst-plugins-ugly 1.26.9-1
gwenview 25.12.0-1
haruna 1.6.0-1
haveged 1.9.19-1
hdparm 9.65-3
hwdetect 2025.08.16.1333-1
hwinfo 25.0-2
hyprland 0.52.2-2
hyprlock 0.9.2-7
hyprpaper 0.7.6-4
inetutils 2.6-1
intel-ucode 20251111-1
inxi 3.3.40.1-1
iptables-nft 1:1.8.11-2
iw 6.17-1
iwd 3.10-1
jfsutils 1.1.15-9
kate 25.12.0-1
kde-cli-tools 6.5.4-1
kde-gtk-config 6.5.4-1
kdeconnect 25.12.0-1
kdegraphics-thumbnailers 25.12.0-1
kdenetwork-filesharing 25.12.0-1
kdeplasma-addons 6.5.4-1
kgamma 6.5.4-1
kimageformats 6.21.0-1
kinfocenter 6.5.4-1
kio-admin 25.12.0-1
kio-extras 25.12.0-1
kio-fuse 5.1.1-1
kitty 0.44.0-1
konsole 25.12.0-1
kscreen 6.5.4-1
kvantum 1.1.5-1
kvantum-theme-catppuccin-git r20.1156e54-1
kwallet-pam 6.5.4-1
kwayland-integration 6.5.4-1
lazygit 0.57.0-1
less 1:685-1
libappindicator 12.10.1-1
libdvdcss 1.5.0-1
libgsf 1.14.54-1
libopenraw 0.3.7-2
libreoffice-fresh 25.8.4-1
libwnck3 43.3-1
linux 6.18.1.arch1-2
linux-firmware 20251125-2
linux-headers 6.18.1.arch1-2
linux-lts 6.12.63-1
linux-lts-headers 6.12.63-1
logrotate 3.22.0-1
lsb-release 2.0.r55.a25a4fc-1
lsscsi 0.32-2
lvm2 2.03.38-1
man-db 2.13.1-1
man-pages 6.16-1
mdadm 4.4-2
meld 3.22.3-1
mesa-utils 9.0.0-7
modemmanager 1.24.2-1
mtools 1:4.0.49-1
nano 8.7-1
nano-syntax-highlighting 2025.07.01.r0.g256995b-2
neofetch 7.1.0-2
netctl 1.29-2
networkmanager 1.54.3-1
networkmanager-openconnect 1.2.10-4
networkmanager-openvpn 1.12.4-1
nfs-utils 2.8.4-1
nilfs-utils 2.2.12-1
nm-connection-editor 1.36.0-1
noto-fonts 1:2025.12.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2025.12.01-1
npm 11.6.4-1
nsight-compute 2025.4.0.12-1
nsight-systems 2025.5.2.266-1
nss-mdns 0.15.1-2
ntfs-3g 2022.10.3-2
ntp 4.2.8.p18-6
nvidia 580.119.02-2
nvidia-hook 1.5.2-1
nvidia-inst 25.11-1
nvidia-lts 1:580.119.02-3
nvidia-settings 580.119.02-1
nvtop 3.2.0-1
nwg-look 1.0.6-1
okular 25.12.0-1
openssh 10.2p1-2
os-prober 1.83-1
pacman-contrib 1.13.1-1
pamixer 1.6-3
pavucontrol 1:6.2-1
perl 5.42.0-1
pipewire-alsa 1:1.4.9-2
pipewire-jack 1:1.4.9-2
pipewire-pulse 1:1.4.9-2
pkgfile 25-1
plasma-browser-integration 6.5.4-1
plasma-desktop 6.5.4-1
plasma-disks 6.5.4-1
plasma-firewall 6.5.4-1
plasma-keyboard 0.1.0-1
plasma-nm 6.5.4-1
plasma-pa 6.5.4-1
plasma-systemmonitor 6.5.4-1
plasma-workspace 6.5.4-1
plasma-x11-session 6.5.4-1
playerctl 2.4.1-5
plocate 1.1.23-1
poppler-glib 25.12.0-1
power-profiles-daemon 0.30-1
powerdevil 6.5.4-1
print-manager 1:6.5.4-1
pv 1.10.3-1
pyenv 1:2.6.16-1
python 3.13.11-1
python-defusedxml 0.7.1-7
python-jinja 1:3.1.6-1
python-packaging 25.0-1
python-pipx 1.8.0-1
python-pyqt6 6.10.1-1
python-pywal 3.3.0-10
qt5ct 1.9-1
qt6-imageformats 6.10.1-1
qt6ct 0.11-3
quickshell 0.2.1-3
rdma-core 60.0-2
rebuild-detector 4.4.5-1
reflector 2023-3
reflector-simple 2025.10-1
rofi 2.0.0-1
rsync 3.4.1-2
rtkit 0.14-1
s-nail 14.9.25-1
sddm-kcm 6.5.4-1
sg3_utils 1.48-1
slurp 1.5.0-1
smartmontools 7.5-1
sof-firmware 2025.12-1
spectacle 1:6.5.4-1
spicetify-cli 2.42.7-1
spotify 1:1.2.79.425-1
sudo 1.9.17.p2-1
swayimg 4.6-1
swaync 0.12.3-1
swww 0.11.2-1
sysfsutils 2.1.1-2
systemd-sysvcompat 259-1
texinfo 7.2-1
tgpt 2.11.0-1
thorium-browser-bin 130.0.6723.174-1
tldr 3.4.3-2
tofi 0.9.1-2
tree 2.2.1-1
ttf-bitstream-vera 1.10-16
ttf-cascadia-code-nerd 3.4.0-1
ttf-cascadia-mono-nerd 3.4.0-1
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-fira-code 6.2-2
ttf-fira-mono 2:3.206-4
ttf-fira-sans 1:4.301-2
ttf-firacode-nerd 3.4.0-1
ttf-iosevka-nerd 3.4.0-1
ttf-iosevkaterm-nerd 3.4.0-1
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.4.0-1
ttf-liberation 2.1.5-2
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-mono 3.4.0-1
ttf-opensans 3.003-1
unrar 1:7.2.3-1
unzip 6.0-23
upower 1.91.0-1
usb_modeswitch 2.6.2.20251207-1
usbutils 019-1
vi 1:070224-6
visual-studio-code-bin 1.107.1-1
waybar 0.14.0-5
welcome 25.12.1-1
wget 1.25.0-3
which 2.23-1
wireless-regdb 2025.10.07-1
wireless_tools 30.pre9-4
wireplumber 0.5.12-1
wlogout 1.2.2-0
woff2-font-awesome 7.1.0-1
wpa_supplicant 2:2.11-3
xclip 0.13-6
xdg-desktop-portal-hyprland 1.3.11-3
xdg-desktop-portal-kde 6.5.4-1
xdg-user-dirs 0.19-2
xdg-utils 1.2.1-2
xf86-input-libinput 1.5.0-1
xfsprogs 6.17.0-2
xl2tpd 1.3.19-1
xorg-server 21.1.21-1
xorg-xdpyinfo 1.4.0-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkill 1.0.6-2
xorg-xrandr 1.5.3-1
xsettingsd 1.0.2-3
xterm 404-1
yay 12.5.7-1
yazi 25.5.31-2
yt-dlp 2025.12.08-1
zen-browser-bin 1.17.14b-1
zsh 5.9-5
=== AUR ===
grimblast-git r152.db18f83-1
kvantum-theme-catppuccin-git r20.1156e54-1
neofetch 7.1.0-2
spicetify-cli 2.42.7-1
spotify 1:1.2.79.425-1
thorium-browser-bin 130.0.6723.174-1
tofi 0.9.1-2
visual-studio-code-bin 1.107.1-1
wlogout 1.2.2-0
zen-browser-bin 1.17.14b-1
=== Flatpak ===
=== Snap ===
=== Cargo ===
clock-tui v0.6.1:
    tclock
mpris-notifier v0.2.1:
    mpris-notifier
